PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
dextromethorphan polistirex,dextromethorphan polistirex,dextromethorphan polistirex,dextromethorphan polistirex
dextromethorphan- guaifenesin,dextromethorphan  guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
dextromethorphan-guaiFENesin,dextromethorphan guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
dextromethorphan-guaifenesin,dextromethorphan guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
dextromethrophan,dextromethrophan,dextromethrophan,dextromethorphan
dextrometorphan,dextrometorphan,dextrometorphan,dextromethorphan
dextrometorphan-guaifenesin,dextrometorphan guaifenesin,dextrometorphan guaifenesin,dextromethorphan  guaifenesin
dextrometorphan/guaifenesin,dextrometorphanguaifenesin,dextrometorphanguaifenesin,dextromethorphan  guaifenesin
dextrose,dextrose,dextrose,dextrose
dflucan,dflucan,dflucan,dflucan
dha,dha,dha,dha
dha + vitamin D,dha  vitamin d,dha vitamin d,vitamin d
dhea,dhea,dhea,dhea
diabetes med,diabetes med,diabetes med,diabetes med
diathyltoluamide,diathyltoluamide,diathyltoluamide,diathyltoluamide
diazePAM,diazepam,diazepam,diazepam
diazepam,diazepam,diazepam,diazepam
dicegis,dicegis,dicegis,dicegis
dicelgis,dicelgis,dicelgis,dicelgis
diclegis,diclegis,diclegis,diclegis
dicleigs,dicleigs,dicleigs,dicleigs
diclelgis,diclelgis,diclelgis,diclelgis
diclofenac,diclofenac,diclofenac,diclofenac
diclofenac topical gel 1%,diclofenac topical gel ,diclofenac,diclofenac
dicloxacillin,dicloxacillin,dicloxacillin,dicloxacillin
dicloxacillin sodium,dicloxacillin sodium,dicloxacillin,dicloxacillin
dicyCLOmine,dicyclomine,dicyclomine,dicyclomine
dicyclomine,dicyclomine,dicyclomine,dicyclomine
dicyclomine HCL,dicyclomine hcl,dicyclomine,dicyclomine
diethyltoluamide,diethyltoluamide,diethyltoluamide,diethyltoluamide
diethyltoluamide 25%,diethyltoluamide ,diethyltoluamide,diethyltoluamide
diethyltoludamide,diethyltoludamide,diethyltoludamide,diethyltoludamide
diethyltolumaide,diethyltolumaide,diethyltolumaide,diethyltolumaide
difedipine,difedipine,difedipine,nifedipine
diflucan,diflucan,diflucan,diflucan
difucan,difucan,difucan,difucan
digestive enzyme,digestive enzyme,digestive enzyme,digestive enzyme
digestive enzymes,digestive enzymes,digestive enzymes,digestive enzyme
diglegis,diglegis,diglegis,diglegis
diglesis,diglesis,diglesis,diglesis
digoxin,digoxin,digoxin,digoxin
dihenhydramine,dihenhydramine,dihenhydramine,diphenhydramine
dilaudid,dilaudid,dilaudid,dilaudid
diltia xt,diltia xt,diltia xt,diltiazem xt
diltiazem,diltiazem,diltiazem,diltiazem
dimenhydrinate,dimenhydrinate,dimenhydrinate,dimenhydrinate
dimeticone,dimeticone,dimeticone,dimethicone
diphenHYdramine,diphenhydramine,diphenhydramine,diphenhydramine
diphenhydrAMINE,diphenhydramine,diphenhydramine,diphenhydramine
diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine
diphenhydramine hcl,diphenhydramine hcl,diphenhydramine,diphenhydramine
diphenoxylate/atropine,diphenoxylateatropine,diphenoxylateatropine,diphenoxylateatropine
diphenydraminE,diphenydramine,diphenydramine,diphenhydramine
diphenydramine,diphenydramine,diphenydramine,diphenhydramine
divalproex sodium,divalproex sodium,divalproex,divalproex
doclegis,doclegis,doclegis,doclegis
docosahexaenoic,docosahexaenoic,docosahexaenoic,docosahexaenoic acid
docosahexaenoic acid,docosahexaenoic acid,docosahexaenoic acid,docosahexaenoic acid
docosahexanoic acid,docosahexanoic acid,docosahexanoic acid,docosahexaenoic acid
docosahexanoic anti-cid,docosahexanoic anti cid,docosahexanoic anti cid,docosahexaenoic acid
docusate,docusate,docusate,docusate
docusate PO Cap,docusate po cap,docusate,docusate
docusate calcium,docusate calcium,docusate calcium,docusate calcium
docusate calcium,docusate calcium,docusate calcium,docusate calcium
docusate sodium,docusate sodium,docusate,docusate
docusate sodium,docusate sodium,docusate,docusate
